name,twitter,location,state,tweet_count,tuition,in_state,enrollment,private,ivy,user_count
Princeton University,Princeton,"Princeton, NJ",NJ,4644.0,"$45,320 ",,5402,1,1,1995.0
Harvard University,Harvard,"Cambridge, MA",MA,18191.0,"$47,074 ",,6699,1,1,8360.0
University of Chicago,UChicago,"Chicago, IL",IL,996.0,"$52,491 ",,5844,1,0,535.0
Yale University,Yale,"New Haven, CT",CT,25927.0,"$49,480 ",,5532,1,1,6552.0
Columbia University,Columbia,"New York, NY",NY,9084.0,"$55,056 ",,6102,1,1,5505.0
Stanford University,Stanford,"Stanford, CA",CA,12207.0,"$47,940 ",,6999,1,0,7250.0
Massachusetts Institute of Technology,MIT,"Cambridge, MA",MA,6468.0,"$48,452 ",,4527,1,0,3536.0
Duke University,DukeU,"Durham, NC",NC,1141.0,"$51,265 ",,6639,1,0,515.0
University of Pennsylvania,Penn,"Philadelphia, PA",PA,2190.0,"$51,464 ",,9726,1,1,1022.0
Johns Hopkins University,JohnsHopkins,"Baltimore, MD",MD,1632.0,"$50,410 ",,6524,1,0,776.0
Dartmouth College,dartmouth,"Hanover, NH",NH,6145.0,"$51,438 ",,4307,1,1,4543.0
California Institute of Technology,Caltech,"Pasadena, CA",CA,1023.0,"$47,577 ",,1001,1,0,442.0
Northwestern University,NorthwesternU,"Evanston, IL",IL,1212.0,"$50,855 ",,8314,1,0,590.0
Brown University,BrownUniversity,"Providence, RI",RI,2897.0,"$51,367 ",,6652,1,1,1302.0
Cornell University,Cornell,"Ithaca, NY",NY,3509.0,"$50,953 ",,14315,1,1,1545.0
Rice University,RiceUniversity,"Houston, TX",TX,634.0,"$43,918 ",,3910,1,0,227.0
University of Notre Dame,NotreDame,"Notre Dame, IN",IN,906.0,"$49,685 ",,8462,1,0,539.0
Vanderbilt University,VanderbiltU,"Nashville, TN",TN,5551.0,"$45,610 ",,6883,1,0,4271.0
Washington University in St. Louis,WUSTL,"St. Louis, MO",MO,575.0,"$49,770 ",,7504,1,0,297.0
Emory University,EmoryUniversity,"Atlanta, GA",GA,743.0,"$47,954 ",,6867,1,0,363.0
Georgetown University,Georgetown,"Washington, DC",DC,1559.0,"$50,547 ",,7562,1,0,667.0
University of California--Berkeley,UCBerkeley,"Berkeley, CA",CA,33008.0,"$40,191 ","$13,509 ",27496,0,0,5370.0
University of Southern California,USC,"Los Angeles, CA",CA,11917.0,"$52,217 ",,18810,1,0,4964.0
Carnegie Mellon University,CarnegieMellon,"Pittsburgh, PA",PA,888.0,"$52,040 ",,6454,1,0,436.0
University of California--Los Angeles,UCLA,"Los Angeles, CA",CA,7608.0,"$39,518 ","$12,836 ",29585,0,0,5155.0
University of Virginia,UVA,"Charlottesville, VA",VA,6195.0,"$45,066 ","$15,722 ",16736,0,0,4544.0
Tufts University,TuftsUniversity,"Medford, MA",MA,1047.0,"$52,430 ",,5290,1,0,416.0
University of Michigan--Ann Arbor,UMich,"Ann Arbor, MI",MI,21856.0,"$43,476 ","$13,856 ",28312,0,0,5087.0
Wake Forest University,WakeForest,"Winston-Salem, NC",NC,403.0,"$49,308 ",,4871,1,0,174.0
University of North Carolina--Chapel Hill,UNC,"Chapel Hill, NC",NC,1220.0,"$33,916 ","$8,834 ",18415,0,0,619.0
Boston College,BostonCollege,"Chestnut Hill, MA",MA,940.0,"$51,296 ",,9192,1,0,442.0
College of William & Mary,williamandmary,"Williamsburg, VA",VA,10419.0,"$41,718 ","$18,687 ",6301,0,0,4208.0
University of Rochester,UofR,"Rochester, NY",NY,10396.0,"$50,142 ",,6304,1,0,4162.0
Brandeis University,BrandeisU,"Waltham, MA",MA,640.0,"$51,570 ",,3621,1,0,281.0
Georgia Institute of Technology,GeorgiaTech,"Atlanta, GA",GA,727.0,"$32,404 ","$12,212 ",15142,0,0,370.0
New York University,nyuniversity,"New York, NY",NY,7139.0,"$49,062 ",,25722,1,0,4972.0
Case Western Reserve University,cwru,"Cleveland, OH",OH,185.0,"$46,006 ",,5121,1,0,126.0
University of California--Santa Barbara,ucsantabarbara,"Santa Barbara, CA",CA,612.0,"$40,704 ","$14,022 ",20607,0,0,326.0
Boston University,BU_Tweets,"Boston, MA",MA,1465.0,"$50,240 ",,17932,1,0,790.0
Northeastern University,Northeastern,"Boston, MA",MA,713.0,"$47,655 ",,13697,1,0,379.0
Rensselaer Polytechnic Institute,rpi,"Troy, NY",NY,71.0,"$50,797 ",,5864,1,0,44.0
