id,conversation,username,text,retweets,favorites,batch
2,2,2,2,2,2,2
2710,2710,2710,2710,2710,2710,2710
9028,9028,9028,9028,9028,9028,9028
4408,4408,4408,4408,4408,4408,4408
2380,2380,2380,2380,2380,2380,2380
1542,1542,1542,1542,1542,1542,1542
1226,1226,1226,1226,1226,1226,1226
682,682,682,682,682,682,682
672,672,672,672,672,672,672
698,698,698,698,698,698,698
608,608,608,608,608,608,608
569,569,569,569,569,569,569
540,540,540,540,540,540,540
538,538,538,538,538,538,538
363,363,363,363,363,363,363
363,363,363,363,363,363,363
540,540,540,540,540,540,540
302,302,302,302,302,302,302
416,416,416,416,416,416,416
297,297,297,297,297,297,297
317,317,317,317,317,317,317
227,227,227,227,227,227,227
234,234,234,234,234,234,234
306,306,306,306,306,306,306
268,268,268,268,268,268,268
230,230,230,230,230,230,230
663,663,663,663,663,663,663
860,860,860,860,860,860,860
503,503,503,503,503,503,503
589,589,589,589,589,589,589
630,630,630,630,630,630,630
8306,8306,8306,8306,8306,8306,8306
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
