date,tweet_count
2017-10-15,2
2017-10-16,8577
2017-10-17,25115
2017-10-18,10710
2017-10-19,5276
2017-10-20,3439
2017-10-21,2404
2017-10-22,1343
2017-10-23,1414
2017-10-24,1326
2017-10-25,1232
2017-10-26,1160
2017-10-27,1097
2017-10-28,1044
2017-10-29,714
2017-10-30,715
2017-10-31,1051
2017-11-01,672
2017-11-02,808
2017-11-03,620
2017-11-04,603
2017-11-05,475
2017-11-06,549
2017-11-07,595
2017-11-08,526
2017-11-09,593
2017-11-10,1376
2017-11-11,1720
2017-11-12,1019
2017-11-13,1168
2017-11-14,1286
2017-11-15,410733
2017-11-30,1
2018-01-22,1
2018-01-23,1
